ANIOCAMPANAPROCESO;ANIOCAMPANA;CODEBELISTA;CODTERRITORIO;CODCOMPORTAMIENTOROLLING;EDAD;FLAGCORREOVALIDADO;FLAGCELULAR;FLAGDIGITAL;DESESTADOCIVIL_CAT;NRO_PEDIDOS;NRO_PEDIDOS_U6C;NRO_PEDIDOS_U18C;CANALINGRESO_CAT;REALVTAMNFACTURA;CODZONA_X;CODREGION;EDADBINS;PROMEDIOFACTURAS;MAXFACTURA;MINFACTURA;RATIOFACTURAS;REGLA_REVISTA;REGLA_CATALOGO;REGLA_WEB;REGLA_OTROS;LBEL;ESIKA;CYZONE;ANIOCAMPANAINGRESO;GANANCIA_TOTAL;DIA_VENC;FLAGQUINCENA;FLAGINIFIN;ANTIGUEDAD;FRAGANCIAS;CORPORAL;FACIAL;PERSONAL;CAMPANAINGRESO;DESNIVELSOCIA;DESRENDIMIENTOSOCIA;TOTAL_FACTURAS;FACTURAS_DEUDA_21_CA;FACTURAS_DEUDA_22_CA;FACTURAS_DEUDA_23_CA;FACTURAS_DEUDA_24_CA;FACTURAS_DEUDA_25_CA;FACTURAS_DEUDA_26_CA;FACTURAS_DEUDA_31_CA;FACTURAS_DEUDA_42;FACTURAS_DEUDA_63;FACTURAS_DEUDA_189;RATIO21_CA;RATIO22_CA;RATIO23_CA;RATIO24_CA;RATIO25_CA;RATIO26_CA;RATIO31_CA;RATIO42;RATIO63;RATIO189;RATIO999;PCTJE_DEUDA_31_CA;PCTJE_DEUDA_42;PCTJE_DEUDA_63;PCTJE_DEUDA_189;ULT_CAMPANA_MOROSA;COBRABILIDAD21_ZONA;COBRABILIDAD26_ZONA;COBRABILIDAD31_ZONA;COBRABILIDAD189_ZONA;REMESA;REMESA_H;DESVIACION_MAXFACTURA;DESVIACION_MINFACTURA;DESVIACION_REMESA;FLAGNUEVA;FLAG18;FLAG19;FLAG20;DESV_PEDMIN;DESV_PEDMIN_ADJ;CLASE;TARGET_COBRANZA31_CA;PROM_DIAS_PAGO
202507;202507;053454100;2428;1;33;0;1;0;5;2;2;2;8;424.51000;8027;80;5;393.72500;393.72500;393.72500;1.07800;0.27900;0.29800;0.00000;0.43900;0.00000;0.61118;0.38842;202506;185.53000;22;0;0;1;0.54791;0.08338;0.00000;0.17271;6;2;0;1;0;1;0;0;0;0;0;0;0;0;0.00000;0.50000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.82605;0.89053;0.91947;0.98044;1;-1.00000;0.07819;0.07819;2.00000;1;0;0;0;195.14000;181.02040;0;0;21.00000
202507;202507;053438091;10285;1;23;0;1;0;5;2;2;2;2;189.46000;4211;4;4;240.90000;240.90000;240.90000;0.78600;0.00000;0.38300;0.38700;0.00000;0.00000;0.26529;0.73464;202506;17.14000;14;1;0;1;0.07483;0.00000;0.12924;0.26529;6;4;0;1;1;1;1;1;1;1;1;0;0;0;0.50000;0.50000;0.50000;0.50000;0.50000;0.50000;0.50000;0.00000;0.00000;0.00000;0.00000;1.00000;0.00000;0.00000;0.00000;0.00000;0.83554;0.89277;0.92214;0.97705;1;-1.00000;0.21353;0.21353;2.00000;1;0;0;0;-7.99000;-10.16540;1;1;21.00000
202507;202507;050258629;2428;1;32;0;1;0;5;1;1;1;3;190.42000;8027;80;5;190.42000;190.42000;190.42000;1.00000;0.22100;0.32200;0.00000;0.18500;0.20285;0.08114;0.37190;202507;33.98000;22;0;0;0;0.00000;0.00000;0.00000;0.46693;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;-1;-1.00000;0.00000;0.00000;0.00000;1;0;0;0;-7.11000;-7.11000;0;0;189.00000
202507;202507;053524966;2428;1;21;0;1;0;5;1;1;1;2;352.15000;8027;80;3;352.15000;352.15000;352.15000;1.00000;0.00000;0.35700;0.38300;0.00100;0.00000;0.68470;0.14178;202507;81.55000;22;0;0;0;0.33554;0.00000;0.00000;0.24327;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;-1;-1.00000;0.00000;0.00000;0.00000;1;0;0;0;134.18000;134.18000;0;0;189.00000
202507;202507;052367042;2428;6;20;0;1;0;5;15;5;15;2;429.70000;8027;80;2;370.50600;358.13300;351.67100;1.16000;0.00000;0.34900;0.33800;0.48100;0.09309;0.14950;0.75879;202409;48.88000;22;0;0;16;0.55328;0.00000;0.11126;0.09923;9;2;0;15;4;4;4;4;4;3;0;0;0;0;0.25000;0.25000;0.25000;0.25000;0.25000;0.18800;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;6.00000;0.82605;0.89053;0.91947;0.98044;0;0.00000;0.19983;0.22188;0.00000;0;0;0;1;199.51000;171.99140;0;0;23.50000
202507;202507;038100866;1648;6;46;0;1;0;5;47;6;18;2;631.18000;6038;60;7;383.36300;383.36300;383.36300;1.64600;0.00000;0.33500;0.37400;0.37800;0.13864;0.57768;0.28306;202408;118.11000;19;0;0;17;0.17138;0.04621;0.00000;0.18678;8;4;0;34;5;9;5;4;4;4;2;2;0;0;0.14300;0.25700;0.14300;0.11400;0.11400;0.11400;0.05700;0.05900;0.00000;0.00000;0.00000;0.50000;0.50000;0.00000;0.00000;7.00000;0.79317;0.86202;0.89894;0.95721;4;5.00000;0.64643;0.64643;-1.00000;0;0;0;0;364.32000;221.33660;0;0;25.00000
202507;202507;049602200;1648;1;22;0;1;0;5;2;2;2;2;175.34000;6038;60;4;221.79000;221.79000;221.79000;0.79100;0.00000;0.36500;0.30700;0.00000;0.00000;0.99742;0.00000;202506;13.16000;19;0;0;1;0.13634;0.00000;0.00000;0.32290;6;4;0;1;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.79317;0.86202;0.89894;0.95721;1;-1.00000;0.20943;0.20943;2.00000;1;0;0;0;-15.64000;-19.77240;0;0;21.00000
202507;202507;053465803;1648;1;22;0;1;0;5;2;2;2;2;220.83000;6038;60;4;249.94500;249.94500;249.94500;0.88400;0.00000;0.36000;0.00000;0.00000;0.61833;0.32041;0.06183;202506;56.67000;19;0;0;1;0.43283;0.00000;0.18550;0.00000;6;4;0;1;0;0;0;0;0;0;0;0;0;0;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.79317;0.86202;0.89894;0.95721;3;-1.00000;0.11649;0.11649;4.00000;1;0;0;0;22.90000;25.90500;0;0;21.00000
202507;202507;047008190;10285;6;58;0;1;0;5;77;6;18;2;328.27000;4211;4;7;325.67000;325.67000;325.67000;1.00800;0.00000;0.33600;0.00000;0.37100;0.00000;0.32876;0.67264;202103;75.50000;14;1;0;76;0.56305;0.04157;0.00000;0.00000;3;4;0;77;16;18;16;12;8;5;3;0;0;0;0.20500;0.23100;0.20500;0.15400;0.10300;0.06400;0.03800;0.00000;0.00000;0.00000;0.00000;0.10840;0.00000;0.00000;0.00000;14.00000;0.83554;0.89277;0.92214;0.97705;3;4.00000;0.00798;0.00798;-1.00000;0;0;0;0;109.63000;108.75990;0;0;24.23077
202507;202507;052580900;2428;7;19;0;1;0;5;10;5;10;2;269.44000;8027;80;1;269.04000;269.04000;269.04000;1.00100;0.38300;0.42200;0.33600;0.00000;0.09128;0.09584;0.81694;202412;144.56000;22;0;0;13;0.56995;0.00000;0.09267;0.08804;12;2;0;9;3;4;3;3;2;2;0;0;0;0;0.30000;0.40000;0.30000;0.30000;0.20000;0.20000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;7.00000;0.82605;0.89053;0.91947;0.98044;1;-1.00000;0.00149;0.00149;2.00000;0;0;1;0;64.11000;64.04600;0;0;24.33333
